"","namelist","betw"
"1","SB",0.3654651352232
"2","MM",0.201388888888889
"3","TUR",0.138131313131313
"4","XIP",0.288888888888889
"5","THU",0.175
"6","LPL",0.138888888888889
"7","MPL",3.39022709468083
"8","SPL",5.59827255970217
"9","HAK0",1.14288914490527
"10","HAK1",0.812501483021743
"11","HAK2",4.29755688692758
"12","HAK3",3.02044331422577
"13","HAK4",0.441666666666667
"14","MUL0",1.14707122649813
"15","MUL1",1.51359871955614
"16","MUL2",0.682373590461826
"17","MUL3",2.0415281184244
"18","TRA",24.4199232591389
"19","PAG",2.0555520878253
"20","DFS",87.208351519347
"21","DFH",66.9336387611098
"22","DSM",30.4272937141007
"23","DSP",24.9239647369521
"24","DSR",28.6443666059839
"25","MSC",63.8789173614419
"26","MSG",1.71986157915149
"27","MSP",0.572191003229245
"28","ENG",4.21132875378181
"29","SAR",5.42653901690773
"30","EPI",34.3918789678464
"31","CEBH",25.2219921313463
"32","CEBS",8.76036849075287
"33","CEPH",35.7470675352988
"34","CEPS",23.9397642639198
"35","DNS",77.9637699919389
"36","DNH",29.9282237530837
"37","DRS",9.85282510912599
"38","DRH",11.5364671902652
"39","ARF",2.37280827925452
"40","PWL",7.85940607839965
"41","SUP",102.104971025624
"42","Mb_O",57.9264474504882
"43","Mb_FF",20.3145848581948
"44","Mb_DF",24.0927212190476
"45","Mb_C",28.5023359370169
"46","Mb_PAR",11.8099497960879
"47","Mb_SCA",25.813666612286
"48","Mb_H",2.60248638294413
"49","Mb_GRA",6.50502222523804
"50","Mb_SF",4.63780678408924
"51","Mb_PF",0.794631801889867
"52","BO",8.25361812037494
"53","EUP",56.8058579659295
"54","ZG",3.72945403651183
"55","ZL",26.3117961679438
"56","ZM",48.9520308767303
"57","ZS",33.3590145643065
"58","PB",2.2040404040404
"59","BB",0.785964912280702
"60","PS",0
"61","DF",0
"62","PL",0
"63","MB",0
"64","SG",0
"65","MA",0
"66","RAY",0.432367149758454
"67","SHK",3.40787927429624
"68","DC",343.416265869568
"69","SPOM",1034.28332836293
"70","BD",1117.56136609213
