,Interaction,Model,MTI
22211,CEPS x SSS_C1,TOT,-0.224689
22212,CEPS x SSS_C1,CUT3,-0.50054
22213,CEPS x SSS_C1,CUT2,-0.0521657
22214,CEPS x SSS_C1,CUT1,-0.122042
26817,SUP x SSS_C1,TOT,0.202477
26818,SUP x SSS_C1,CUT3,0.263487
26819,SUP x SSS_C1,CUT2,0.02615
26820,SUP x SSS_C1,CUT1,-0.0221993
43772,Dipturus_oxyrinchus x RSH_C1,TOT,-0.564583
43773,Dipturus_oxyrinchus x RSH_C1,CUT3,-0.281858
43774,Dipturus_oxyrinchus x RSH_C1,CUT2,-0.162778
43775,Dipturus_oxyrinchus x RSH_C1,CUT1,-0.152351
44959,RSH_C1 x HAK1,TOT,0.0113409
44960,RSH_C1 x HAK1,CUT3,-0.466448
44961,RSH_C1 x HAK1,CUT2,-0.435414
44962,RSH_C1 x HAK1,CUT1,-0.426569
44963,RSH_C1 x HAK2,TOT,0.00727687
44964,RSH_C1 x HAK2,CUT3,-0.411323
44965,RSH_C1 x HAK2,CUT2,-0.386639
44966,RSH_C1 x HAK2,CUT1,-0.379851
44979,RSH_C1 x MUL1,TOT,-0.0903255
44980,RSH_C1 x MUL1,CUT3,-0.206454
44981,RSH_C1 x MUL1,CUT2,-0.299676
44982,RSH_C1 x MUL1,CUT1,-0.385525
46745,SSH_C1 x DSR,TOT,-0.0204229
46746,SSH_C1 x DSR,CUT3,-0.28819
46747,SSH_C1 x DSR,CUT2,-0.286397
46748,SSH_C1 x DSR,CUT1,-0.263098
47317,SSS_C1 x Dalatias_licha,TOT,0.0295995
47318,SSS_C1 x Dalatias_licha,CUT3,0.0187569
47319,SSS_C1 x Dalatias_licha,CUT2,0.389261
47359,SSS_C1 x Scyliorhinus_canicula,TOT,-0.313862
47360,SSS_C1 x Scyliorhinus_canicula,CUT3,-0.48617
47361,SSS_C1 x Scyliorhinus_canicula,CUT2,-0.236698
61454,3.OTM x RSH_C1,TOT,0.171295
61455,3.OTM x RSH_C1,CUT3,-0.15244
61456,3.OTM x RSH_C1,CUT2,-0.288187
61457,3.OTM x RSH_C1,CUT1,-0.298125
62582,SSS_C2 x SSH_C1,CUT2,-0.467949
62583,SSS_C2 x SSH_C1,CUT1,-0.297659
62584,SSS_C2 x SSS_C1,CUT2,-0.0481487
62585,SSS_C2 x SSS_C1,CUT1,-0.416745
62589,SSS_C2 x Torpedo_marmorata,CUT2,-0.474055
62590,SSS_C2 x Torpedo_marmorata,CUT1,-0.303141
